tail-tail 3.92 20.928
ring1-ring4 4.476 152.1
ring1-ring2 3.574 324.1
mhead2-oh1 2.326 45.307
ring1-ring3 3.603 352.3
mhead2-oh2 2.067 151.987
ring3-chme 2.658 116.2
mhead2-tail 3.62 27.575
chead-ring1 4.269 125.5
head-tail 3.28 24.296
tail-oh3 2.4 93
ter2-tail 3.41 35.576
ring2-chme 2.371 65.4
ring3-ring4 3.205 362.6
amide-mhead2 2.92 190.045
ctail-cterm 4.22 13.2
ring2-ring3 4.203 132.2
chead-ring2 2.583 245.9
ring4-ctail 3.693 50.3
amide-tail 3.01 103.857
