#bond,force_constant,x0
E1-E1,20994.984496541732,0.2810641274809714
E1-C3,39584.54016046779,0.3454112657412058
E1-PCP,4833.5073312367385,0.4509454527311823
C2-C3,82157.90042793548,0.32509674005220995
C3-C3,73806.46086508964,0.38374736405821497
PCP-PCN,11688.511859288257,0.4002272993067433
C3-OH5,32809.075738545514,0.3711831218946969
C3-COOH1,60501.416367021615,0.3016136471903848
HS-PCP,10000.0,0.4
