11	0	75
11	0	77
9	0	1
11	0	76
7	1	2
6	1	78
6	1	79
6	2	80
7	2	3
6	2	81
7	3	4
6	3	82
6	3	83
6	4	84
6	4	85
7	4	5
6	5	86
6	5	87
7	5	6
6	6	88
6	6	89
7	6	7
7	7	8
6	7	91
6	7	90
6	8	92
7	8	9
6	8	93
7	9	10
6	9	95
6	9	94
7	10	11
6	10	97
6	10	96
7	11	12
6	11	99
6	11	98
20	12	13
6	12	100
6	12	101
21	13	14
8	13	102
19	14	15
8	14	103
3	15	16
10	15	18
2	15	104
5	16	17
14	18	22
2	18	105
4	18	19
6	19	107
6	19	106
17	19	20
5	20	21
12	22	23
13	22	24
15	24	25
16	24	26
6	26	108
6	26	109
7	26	27
6	27	111
6	27	110
7	27	28
7	28	29
6	28	112
6	28	113
7	29	30
6	29	114
6	29	115
7	30	31
6	30	117
6	30	116
7	31	32
6	31	119
6	31	118
6	32	120
6	32	121
7	32	33
7	33	34
6	33	123
6	33	122
6	34	124
6	34	125
7	34	35
7	35	36
6	35	126
6	35	127
6	36	128
7	36	37
6	36	129
6	37	131
6	37	130
7	37	38
7	38	39
6	38	132
6	38	133
7	39	40
6	39	134
6	39	135
7	40	41
6	40	136
6	40	137
7	41	42
6	41	138
6	41	139
6	42	140
7	42	43
6	42	141
7	43	44
6	43	142
6	43	143
6	44	144
7	44	45
6	44	145
6	45	147
6	45	146
7	45	46
7	46	47
6	46	148
6	46	149
7	47	48
6	47	150
6	47	151
6	48	152
6	48	153
7	48	49
6	49	155
7	49	50
6	49	154
6	50	156
6	50	157
7	50	51
6	51	158
7	51	52
6	51	159
7	52	53
6	52	160
6	52	161
7	53	54
6	53	162
6	53	163
6	54	164
6	54	165
22	54	55
23	55	56
24	56	57
25	56	58
6	58	167
6	58	166
7	58	59
6	59	168
6	59	169
7	59	60
6	60	171
6	60	170
7	60	61
7	61	62
6	61	172
6	61	173
6	62	175
6	62	174
7	62	63
6	63	176
7	63	64
6	63	177
20	64	65
6	64	178
6	64	179
21	65	66
8	65	180
8	66	181
20	66	67
6	67	183
6	67	182
20	67	68
8	68	184
21	68	69
20	69	70
8	69	185
6	70	187
6	70	186
7	70	71
7	71	72
6	71	188
6	71	189
7	72	73
6	72	191
6	72	190
6	73	192
6	73	193
9	73	74
11	74	196
11	74	194
11	74	195
